41,6348763069593
155,923951315193
1158,4657536399
1076,87373262423
1806,84894875008
1899,7545924758
1858,36317479186
1822,91714338631
1608,71842989831
1816,07793712523
1849,77012406799
1856,19006841727
1783,78940653118
1799,16477494564
1773,2010226242
1815,31778821631
1830,15211304679
1853,80159357032
1861,19753718172
1810,37518713517
1856,77453242578
1754,88309515983
1820,92416858894
1818,31733764759
1807,85618780046
1837,00388660184
1864,06720461485
1806,61152405306
1855,39770552991
1801,92204915935
1843,85276110018
1814,92257729792
1799,15671607617
1809,50137528399
1786,95611912721
1829,23315186017
1718,08148868029
1783,08185273301
1773,16104866719
1435,97576960683
1824,99330864298
1697,36014976202
1762,67837839884
1660,38409733539
1782,4040466305
1691,40904733219
970,455161654744
1041,1724468963
1402,35692887583
1800,06717822814
